Gender,Married,Education,Self_Employed,Credit_History,Property_Area,ApplicantIncome,Loan_Status
1,0,1,0,1,1,5849,1
1,1,1,0,1,2,4583,0
1,1,1,1,1,1,3000,1
1,1,0,0,1,1,2583,1
1,0,1,0,1,1,6000,1
1,1,1,1,1,1,5417,1
1,1,0,0,1,1,2333,1
1,1,1,0,0,3,3036,0
1,1,1,0,1,1,4006,1
1,1,1,0,1,3,12841,0
1,1,1,0,1,1,3200,1
1,1,1,0,1,1,3073,1
1,0,1,0,1,2,1853,0
1,1,1,0,1,1,1299,1
1,0,1,0,1,1,4950,1
0,0,1,0,0,1,3510,0
1,1,0,0,1,2,4887,0
1,1,0,0,0,1,7660,0
1,1,1,0,1,1,5955,1
1,1,0,0,0,3,2600,0
1,1,1,1,1,3,9560,1
1,1,1,0,1,3,2799,1
1,1,0,0,1,1,4226,1
1,0,0,0,1,1,1442,0
1,0,1,0,1,1,3167,0
1,0,1,1,1,2,4692,0
1,1,1,0,1,3,3500,1
1,0,1,0,1,2,12500,0
1,1,1,0,1,1,2275,1
1,1,1,0,0,1,1828,0
0,1,1,0,1,3,3667,1
1,0,1,0,1,1,4166,1
1,0,0,0,1,3,3748,1
1,0,1,0,1,1,3600,0
1,0,1,0,1,1,1800,1
1,1,1,0,1,3,3941,1
1,1,0,1,1,1,4695,1
0,0,1,0,1,1,3410,1
1,1,1,0,1,1,5649,1
1,1,1,0,1,1,5821,1
0,1,1,0,0,1,2645,0
0,0,1,0,1,3,4000,1
0,1,0,0,1,3,1928,1
0,0,1,0,1,3,3086,1
0,0,1,0,1,3,4230,0
1,1,1,0,1,1,4616,0
0,1,1,1,0,1,11500,0
1,1,1,0,1,3,2708,1
1,1,1,0,1,3,2132,1
1,1,1,0,1,2,3366,0
1,1,1,0,1,1,8080,1
1,1,0,0,1,1,3357,1
1,1,1,0,1,1,2500,1
1,1,1,0,1,1,3029,1
1,1,0,1,0,2,2609,0
1,1,1,0,0,2,4945,0
0,0,1,0,0,3,4166,0
1,1,1,0,1,3,5726,0
1,0,0,0,0,1,3200,0
1,1,1,0,1,1,10750,1
1,1,0,1,1,1,7100,1
0,0,1,0,0,3,4300,0
1,1,1,0,1,1,3208,1
1,1,0,1,1,3,1875,1
1,0,1,0,1,3,3500,1
1,1,0,0,0,3,4755,0
1,1,1,1,1,3,5266,1
1,0,1,0,1,1,3750,0
1,1,1,1,1,1,1000,0
1,1,1,0,0,3,3167,0
0,0,1,0,1,3,3846,1
1,1,1,1,1,3,2395,1
0,1,1,0,1,1,1378,0
1,1,1,0,1,1,3988,1
1,0,1,0,1,3,2366,1
1,1,1,0,1,3,2500,1
1,0,1,0,1,1,8566,1
1,1,1,0,1,3,5695,1
1,1,1,0,1,3,2958,1
1,1,1,0,1,3,6250,1
1,1,0,0,1,1,3273,1
1,0,1,0,1,3,4133,1
1,0,0,0,1,3,3620,1
0,1,1,0,1,3,2484,1
1,1,1,0,1,3,1977,1
1,1,0,0,1,3,4188,1
1,1,1,0,1,3,1759,1
